iso3,country_name,gdp_nominal_usd,gdp_year
USA,United States,2.9298025e+22,2024
CHN,China,1.8945112489e+22,2024
DEU,Germany,4.684181804e+21,2024
JPN,Japan,4.190008188e+21,2024
IND,India,3.760813656e+21,2024
GBR,United Kingdom,3.695355096e+21,2024
FRA,France,3.161041745e+21,2024
ITA,Italy,2.382717723e+21,2024
CAN,Canada,2.27007619e+21,2024
RUS,Russian Federation,2.185847663e+21,2024
BRA,Brazil,2.185822364e+21,2024
KOR,"Korea, Republic of",1.875388209e+21,2024
MEX,Mexico,1.83048928e+21,2024
AUS,Australia,1.79941781e+21,2024
ESP,Spain,1.725152074e+21,2024
IDN,Indonesia,1.396301858e+21,2024
TUR,Türkiye,1.358250905e+21,2024
SAU,Saudi Arabia,1.254141067e+21,2024
NLD,Netherlands,1.214561899e+21,2024
CHE,Switzerland,9.70189555e+20,2024
POL,Poland,9.1762296e+20,2024
TWN,"Taiwan, Province of China",8.01495464e+20,2024
BEL,Belgium,6.71168157e+20,2024
ARG,Argentina,6.37234361e+20,2024
IRL,Ireland,6.08973824e+20,2024
SWE,Sweden,6.04827393e+20,2024
SGP,Singapore,5.72877117e+20,2024
ARE,United Arab Emirates,5.52324847e+20,2024
ISR,Israel,5.42285413e+20,2024
AUT,Austria,5.34629641e+20,2024
THA,Thailand,5.2938552e+20,2024
NOR,Norway,5.00886328e+20,2024
PHL,Philippines,4.61617273e+20,2024
VNM,Viet Nam,4.59448315e+20,2024
BGD,Bangladesh,4.50461024e+20,2024
DNK,Denmark,4.2452475e+20,2024
MYS,Malaysia,4.22227014e+20,2024
COL,Colombia,4.20504033e+20,2024
IRN,"Iran, Islamic Republic of",4.16675876e+20,2024
HKG,Hong Kong,4.08368665e+20,2024
ZAF,South Africa,4.01075543e+20,2024
EGY,Egypt,3.83105243e+20,2024
ROU,Romania,3.82650332e+20,2024
PAK,Pakistan,3.72243385e+20,2024
CZE,Czechia,3.47082562e+20,2024
CHL,Chile,3.30209569e+20,2024
PRT,Portugal,3.13562428e+20,2024
FIN,Finland,2.98639489e+20,2024
PER,Peru,2.95219889e+20,2024
KAZ,Kazakhstan,2.91480274e+20,2024
IRQ,Iraq,2.86523416e+20,2024
DZA,Algeria,2.69139949e+20,2024
NZL,New Zealand,2.58826731e+20,2024
GRC,Greece,2.56161272e+20,2024
NGA,Nigeria,2.52109392e+20,2024
HUN,Hungary,2.2287814e+20,2024
QAT,Qatar,2.19162637e+20,2024
UKR,Ukraine,1.90833837e+20,2024
KWT,Kuwait,1.60901769e+20,2024
MAR,Morocco,1.60605644e+20,2024
ETH,Ethiopia,1.42072517e+20,2024
SVK,Slovakia,1.40891621e+20,2024
PRI,Puerto Rico,1.258415e+20,2024
DOM,Dominican Republic,1.24612989e+20,2024
ECU,Ecuador,1.23802374e+20,2024
UZB,Uzbekistan,1.21352102e+20,2024
VEN,"Venezuela, Bolivarian Republic of",1.20566093e+20,2024
AGO,Angola,1.19574114e+20,2024
KEN,Kenya,1.1930661e+20,2024
BGR,Bulgaria,1.13363852e+20,2024
GTM,Guatemala,1.13189516e+20,2024
OMN,Oman,1.07137061e+20,2024
LKA,Sri Lanka,9.8963836e+19,2024
CRI,Costa Rica,9.6730389e+19,2024
LUX,Luxembourg,9.3251788e+19,2024
HRV,Croatia,9.295539e+19,2024
SRB,Serbia,9.0088367e+19,2024
CIV,Côte d'Ivoire,8.7131998e+19,2024
PAN,Panama,8.6523959e+19,2024
LTU,Lithuania,8.5481987e+19,2024
GHA,Ghana,8.3288583e+19,2024
URY,Uruguay,8.2322765e+19,2024
TZA,"Tanzania, United Republic of",7.9235714e+19,2024
BLR,Belarus,7.8846899e+19,2024
MMR,Myanmar,7.675853e+19,2024
COD,"Congo, The Democratic Republic of the",7.6730994e+19,2024
AZE,Azerbaijan,7.4426e+19,2024
SVN,Slovenia,7.2949955e+19,2024
TKM,Turkmenistan,6.867502e+19,2024
JOR,Jordan,5.8701116e+19,2024
UGA,Uganda,5.7060646e+19,2024
BOL,"Bolivia, Plurinational State of",5.5281337e+19,2024
CMR,Cameroon,5.3308252e+19,2024
TUN,Tunisia,5.133135e+19,2024
MAC,Macao,4.946726e+19,2024
LBY,Libya,4.934879e+19,2024
ZWE,Zimbabwe,4.9154371e+19,2024
BHR,Bahrain,4.7209628e+19,2024
KHM,Cambodia,4.6098206e+19,2024
PRY,Paraguay,4.4738819e+19,2024
LVA,Latvia,4.3988027e+19,2024
EST,Estonia,4.311744e+19,2024
NPL,Nepal,4.2914268e+19,2024
CYP,Cyprus,3.7623146e+19,2024
HND,Honduras,3.7099982e+19,2024
SLV,El Salvador,3.536497e+19,2024
GEO,Georgia,3.4190986e+19,2024
ISL,Iceland,3.318663e+19,2024
SEN,Senegal,3.2829217e+19,2024
PNG,Papua New Guinea,3.0756033e+19,2024
BIH,Bosnia and Herzegovina,2.9738058e+19,2024
LBN,Lebanon,2.9338723e+19,2024
SDN,Sudan,2.9156e+19,2024
ALB,Albania,2.7083523e+19,2024
MLI,Mali,2.6777013e+19,2024
ARM,Armenia,2.5955275e+19,2024
TTO,Trinidad and Tobago,2.5633544e+19,2024
ZMB,Zambia,2.5303186e+19,2024
HTI,Haiti,2.5284984e+19,2024
MLT,Malta,2.5035172e+19,2024
GUY,Guyana,2.4658682e+19,2024
GIN,Guinea,2.4232615e+19,2024
MNG,Mongolia,2.3794545e+19,2024
BFA,Burkina Faso,2.3129725e+19,2024
MOZ,Mozambique,2.2745341e+19,2024
